0,1,2,3,4,5,6,7,8,9,10,11
State Code,County Code,Site Number,POC WS,POC WD,POC TEMP,POC PM10,Latitude,Longitude,State Name,County Name,City Name
21.0,111.0,1041.0,1.0,1.0,1.0,3.0,38.23158,-85.82678,Kentucky,Jefferson,Louisville
22.0,33.0,9.0,1.0,1.0,1.0,1.0,30.461981,-91.179219,Louisiana,East Baton Rouge,Baton Rouge
23.0,9.0,103.0,1.0,1.0,1.0,3.0,44.37705,-68.2609,Maine,Hancock,Not in a City
23.0,9.0,103.0,nan,nan,nan,4.0,44.37705,-68.2609,Maine,Hancock,Not in a City
24.0,3.0,1003.0,2.0,1.0,1.0,1.0,39.169533,-76.627933,Maryland,Anne Arundel,Glen Burnie
24.0,3.0,1003.0,nan,nan,nan,2.0,39.169533,-76.627933,Maryland,Anne Arundel,Glen Burnie
24.0,33.0,30.0,1.0,1.0,1.0,1.0,39.055277,-76.878333,Maryland,Prince George's,Beltsville
25.0,25.0,42.0,1.0,1.0,1.0,4.0,42.3295,-71.0826,Massachusetts,Suffolk,Boston
25.0,25.0,42.0,nan,nan,nan,5.0,42.3295,-71.0826,Massachusetts,Suffolk,Boston
26.0,81.0,20.0,1.0,1.0,1.0,1.0,42.984173,-85.671339,Michigan,Kent,Grand Rapids
26.0,139.0,5.0,1.0,1.0,1.0,1.0,42.894451,-85.852734,Michigan,Ottawa,Jenison
26.0,163.0,1.0,1.0,1.0,1.0,1.0,42.22862,-83.2082,Michigan,Wayne,Allen Park
26.0,163.0,15.0,1.0,1.0,1.0,1.0,42.302786,-83.10653,Michigan,Wayne,Detroit
26.0,163.0,33.0,1.0,1.0,1.0,1.0,42.306674,-83.148754,Michigan,Wayne,Dearborn
26.0,163.0,33.0,nan,nan,nan,3.0,42.306674,-83.148754,Michigan,Wayne,Dearborn
26.0,163.0,33.0,nan,nan,nan,9.0,42.306674,-83.148754,Michigan,Wayne,Dearborn
26.0,163.0,1008.0,1.0,1.0,1.0,3.0,42.281869,-83.151415,Michigan,Wayne,Detroit
28.0,49.0,20.0,1.0,1.0,1.0,1.0,32.329111,-90.182722,Mississippi,Hinds,Jackson
29.0,21.0,5.0,1.0,1.0,1.0,3.0,39.741694,-94.858584,Missouri,Buchanan,St. Joseph
29.0,21.0,5.0,nan,nan,2.0,nan,39.741694,-94.858584,Missouri,Buchanan,St. Joseph
29.0,99.0,19.0,1.0,1.0,1.0,3.0,38.448672,-90.395904,Missouri,Jefferson,Arnold
29.0,510.0,85.0,1.0,1.0,1.0,6.0,38.656429,-90.198348,Missouri,St. Louis City,St. Louis
29.0,510.0,93.0,1.0,1.0,1.0,6.0,38.656479,-90.189868,Missouri,St. Louis City,St. Louis
31.0,55.0,19.0,1.0,1.0,1.0,1.0,41.247486,-95.973142,Nebraska,Douglas,Omaha
32.0,3.0,24.0,1.0,1.0,2.0,1.0,36.815897,-114.050347,Nevada,Clark,Mesquite
32.0,3.0,43.0,1.0,1.0,2.0,1.0,36.106389,-115.253333,Nevada,Clark,Spring Valley
32.0,3.0,44.0,1.0,1.0,2.0,1.0,36.004733,-115.268517,Nevada,Clark,Enterprise
32.0,3.0,71.0,1.0,1.0,2.0,1.0,36.16976,-115.263038,Nevada,Clark,Las Vegas
32.0,3.0,73.0,1.0,1.0,2.0,1.0,36.173415,-115.332728,Nevada,Clark,Las Vegas
32.0,3.0,75.0,1.0,1.0,2.0,1.0,36.270592,-115.238282,Nevada,Clark,Las Vegas
32.0,3.0,298.0,1.0,1.0,2.0,1.0,36.048705,-115.052942,Nevada,Clark,Henderson
32.0,3.0,299.0,1.0,1.0,2.0,1.0,35.987908,-115.148885,Nevada,Clark,Henderson
32.0,3.0,540.0,1.0,1.0,2.0,1.0,36.141875,-115.078742,Nevada,Clark,Sunrise Manor
32.0,3.0,561.0,1.0,1.0,2.0,1.0,36.163962,-115.11393,Nevada,Clark,Las Vegas
32.0,3.0,602.0,1.0,1.0,2.0,1.0,35.969848,-114.835007,Nevada,Clark,Boulder City
32.0,3.0,1019.0,1.0,1.0,2.0,1.0,35.785665,-115.357087,Nevada,Clark,Jean
32.0,3.0,1502.0,1.0,1.0,2.0,1.0,36.174365,-115.13977,Nevada,Clark,Las Vegas
32.0,3.0,2003.0,1.0,1.0,2.0,1.0,36.214465,-115.091437,Nevada,Clark,Not in a City
32.0,31.0,31.0,1.0,1.0,1.0,2.0,39.521933,-119.7954,Nevada,Washoe,Reno
33.0,15.0,14.0,1.0,1.0,1.0,6.0,43.075371,-70.748017,New Hampshire,Rockingham,Portsmouth
33.0,15.0,18.0,1.0,1.0,1.0,6.0,42.862531,-71.38014,New Hampshire,Rockingham,Londonderry
35.0,1.0,23.0,1.0,1.0,1.0,1.0,35.1343,-106.5852,New Mexico,Bernalillo,Albuquerque
35.0,1.0,23.0,nan,nan,2.0,nan,35.1343,-106.5852,New Mexico,Bernalillo,Albuquerque
37.0,119.0,41.0,1.0,1.0,1.0,4.0,35.2401,-80.785683,North Carolina,Mecklenburg,Charlotte
37.0,183.0,14.0,1.0,1.0,1.0,5.0,35.856111,-78.574167,North Carolina,Wake,Raleigh
38.0,13.0,4.0,1.0,1.0,1.0,3.0,48.64193,-102.4018,North Dakota,Burke,Not in a City
38.0,15.0,3.0,1.0,1.0,1.0,3.0,46.825425,-100.76821,North Dakota,Burleigh,Bismarck
38.0,25.0,4.0,1.0,1.0,1.0,3.0,47.342423,-102.645864,North Dakota,Dunn,Dunn Center
39.0,35.0,60.0,1.0,1.0,1.0,3.0,41.492117,-81.678449,Ohio,Cuyahoga,Cleveland
39.0,61.0,40.0,1.0,1.0,1.0,9.0,39.12886,-84.50404,Ohio,Hamilton,Cincinnati
39.0,135.0,1001.0,1.0,1.0,1.0,3.0,39.83562,-84.720524,Ohio,Preble,New Paris
40.0,1.0,9009.0,1.0,1.0,1.0,3.0,35.750735,-94.669697,Oklahoma,Adair,Cherry Tree
40.0,1.0,9009.0,nan,nan,2.0,nan,35.750735,-94.669697,Oklahoma,Adair,Cherry Tree
40.0,109.0,1037.0,2.0,2.0,2.0,3.0,35.614131,-97.475083,Oklahoma,Oklahoma,Oklahoma City
40.0,143.0,1127.0,2.0,2.0,2.0,1.0,36.204902,-95.976537,Oklahoma,Tulsa,Tulsa
40.0,143.0,1127.0,nan,nan,nan,3.0,36.204902,-95.976537,Oklahoma,Tulsa,Tulsa
41.0,37.0,1.0,1.0,1.0,1.0,1.0,42.189215,-120.353969,Oregon,Lake,Lakeview
41.0,51.0,80.0,1.0,1.0,1.0,1.0,45.496641,-122.602877,Oregon,Multnomah,Portland
41.0,51.0,80.0,nan,nan,nan,2.0,45.496641,-122.602877,Oregon,Multnomah,Portland
41.0,61.0,123.0,1.0,1.0,1.0,7.0,45.3235,-118.0778,Oregon,Union,La Grande
44.0,7.0,22.0,1.0,1.0,1.0,1.0,41.807469,-71.412968,Rhode Island,Providence,Providence
44.0,7.0,22.0,nan,nan,nan,2.0,41.807469,-71.412968,Rhode Island,Providence,Providence
44.0,7.0,1010.0,1.0,1.0,1.0,2.0,41.841039,-71.36097,Rhode Island,Providence,East Providence
45.0,79.0,7.0,1.0,1.0,1.0,3.0,34.093959,-80.962304,South Carolina,Richland,Dentsville (Dents)
45.0,79.0,7.0,nan,nan,nan,4.0,34.093959,-80.962304,South Carolina,Richland,Dentsville (Dents)
46.0,33.0,132.0,1.0,1.0,1.0,3.0,43.55764,-103.48386,South Dakota,Custer,Not in a City
46.0,93.0,1.0,3.0,3.0,3.0,3.0,44.155636,-103.315765,South Dakota,Meade,Not in a City
46.0,99.0,9.0,3.0,3.0,3.0,3.0,43.59901,-96.78331,South Dakota,Minnehaha,Sioux Falls
